"titre","auteur","abonnement","commentaire","localite","metteurenscene","date"
Les palmes de monsieur Schutz,...,0,,MCA,Yves Dath,"2007-01-01 00:00:00"
Le Capitaine Fracasse,Thierry Debroux (d'après le roman de Théophile Gautier),0,,MCA,Yves Dath,"2007-01-01 00:00:00"
Bossemans et Coppenolle,...,0,,MCA,Yves Dath,"2007-09-01 00:00:00"
Les amazones,...,0,,MCA,Yves Dath,"2007-09-01 00:00:00"
Je veux voir Mioussov,...,0,,MCA,Yves Dath,"2007-09-01 00:00:00"
Oscar et la dame en rose,...,0,,MCA,Yves Dath,"2008-01-01 00:00:00"
La dame de chez Maxim's,...,0,,MCA,Yves Dath,"2008-01-01 00:00:00"
Sorry je ne fais que passer,...,0,,MCA,Yves Dath,"2008-09-01 00:00:00"
"3 lits pour 8",...,0,,MCA,Yves Dath,"2008-09-01 00:00:00"
"7e Cabaret des Vieux 8",Yves Dath,0,,MCA,Yves Dath,"2009-01-01 00:00:00"
Amadeus,...,0,,MCA,Yves Dath,"2009-01-01 00:00:00"
Chat en poche,...,0,,MCA,Yves Dath,"2009-09-01 00:00:00"
Lettres croisées,...,0,,MCA,Yves Dath,"2009-09-01 00:00:00"
Frou frou les bains,...,0,,MCA,Yves Dath,"2009-09-01 00:00:00"
L'affaire Laramie,...,0,,MCA,Yves Dath,"2010-01-01 00:00:00"
Cyrano de Bergerac,...,0,,MCA,Yves Dath,"2010-01-01 00:00:00"
Le saut du lit,Ray Cooney,0,,Palace,Yves Dath,"2010-10-22 00:00:00"
Madame Doubtfire,Albert Algoud,0,,Palace,Axel Foucart,"2011-01-14 00:00:00"
Yves Dath dit Brel,Yves Dath,0,,Palace,Yves Dath,"2011-05-13 00:00:00"
Un vrai bonheur,Didier Caron,1,"",Palace,Sabine Lessens & Laurie Degand,"2011-10-23 16:00:00,2011-10-22 20:00:00,2011-10-21 20:00:00"
Les Justes,Albert Camus,1,"",Palace,Yves Dath & Marjorie Gross,"2012-01-15 16:00:00,2012-01-14 20:00:00,2012-01-13 20:00:00"
Les belles sœurs,Eric Assous,1,,Palace,Jean-François Massy,"2012-05-13 16:00:00,2012-05-12 20:00:00,2012-05-11 20:00:00"
Arsenic et vieilles dentelles,Joseph Kesselring,1,"",Palace,Sabine Lessens & Nicolas Deltour,"2012-10-21 16:00:00,2012-10-20 20:00:00,2012-10-19 20:00:00"
Cuisines et dépendances,Agnès Jaoui & Jean-Pierre Bacri,0,"",Salle Léon Dubois (Académie),Collective,"2012-11-25 16:00:00,2012-11-24 20:00:00,2012-11-23 20:00:00"
Un petit jeu sans conséquence,Jean Dell,1,"",Palace,Yves Dath,"2013-01-13 16:00:00,2013-01-12 20:00:00,2013-01-11 20:00:00"
Le vent des peupliers,Gérald Sibleyras,0,"",Salle Léon Dubois (Académie),Jean-Pierre Williame,"2013-03-31 16:00:00,2013-03-30 20:00:00,2013-03-29 20:00:00"
Comédiens.com,Création Troupe du Huit,1,,Palace,Yves Dath,"2013-05-19 16:00:00,2013-05-18 20:00:00,2013-05-17 20:00:00"
Les hommes préfèrent mentir,Eric Assous,1,,Palace,Jean-François Massy,"2013-10-20 16:00:00,2013-10-19 20:00:00,2013-10-18 20:00:00"
À fond la caisse,Franck Didier,0,Par Créa'huit,Salle Léon Dubois (Académie),Olivier Hardy,"2013-11-24 16:00:00,2013-11-23 20:00:00,2013-11-22 20:00:00"
Le tour du monde en 80 jours,Sébastien Azzopardi et Sacha Danino,1,,Palace,Jean-Pierre Williame,"2014-01-19 16:00:00,2014-01-18 20:00:00,2014-01-17 20:00:00"
La belle histoire,Virginie Delzenne,0,Création poético-musicale,Salle Léon Dubois (Académie),Sabine Lessens & Virginie Delzenne,"2014-03-28 20:00:00,2014-03-29 20:00:00,2014-03-30 16:00:00"
Panique au ministère,Jean Franco et Guillaume Mélanie,1,"",Palace,Yves Dath,"2014-05-11 16:00:00,2014-05-10 20:00:00,2014-05-09 20:00:00"
Sous vos Reines,Troupe du Huit,1,,Palace,Caroline Detez,"2014-10-24 20:00:00,2014-10-25 20:00:00,2014-10-26 16:00:00"
Le Vent des Peupliers,Gérald Sibleyras,0,,La maison des géants de Ath,Jean-Pierre Williame,"2014-11-20 20:00:00,2014-11-21 20:00:00,2014-11-22 20:00:00,2014-11-23 16:00:00,2014-11-23 20:00:00"
Le Repas des Fauves,Vahé katcha,1,,Palace,Olivier Hardy,"2015-01-16 20:00:00,2015-01-17 20:00:00,2015-01-18 16:00:00"
A.,Eric Durnez,0,,Salle Léon Dubois (Académie),Jean-François Massy,"2015-03-27 20:00:00,2015-03-28 20:00:00,2015-03-29 16:00:00"
